id_municipio,risco_previsto,risco_real,n_alunos,diferenca
2919900,0.9601364166708131,0.875,40,0.08513641667081306
1718501,0.9546007041216252,0.5,48,0.45460070412162523
2205581,0.9463142275103218,0.5454545454545454,55,0.4008596820557764
2406908,0.9452537625492694,0.5714285714285714,21,0.373825191120698
1716307,0.9424274767316393,0.6206896551724138,58,0.3217378215592255
1715705,0.9403353969901269,0.691358024691358,81,0.24897737229876893
1718006,0.9403353969901269,0.6170212765957447,47,0.32331412039438223
3167509,0.9372535071471467,0.5,24,0.4372535071471467
2505808,0.9203690979850693,0.4,35,0.5203690979850693
2804300,0.9201881384209868,0.7714285714285715,35,0.14875956699241533
2907400,0.9179648493298629,0.7428571428571429,35,0.17510770647272
2805901,0.9152060091285685,0.6847826086956522,92,0.23042340043291631
2505238,0.9137809067172334,0.7692307692307693,65,0.14455013748646417
2515005,0.9137809067172334,0.0,23,0.9137809067172334
1717800,0.9127421974016704,0.5476190476190477,42,0.3651231497826227
1703073,0.909397606833561,0.8194444444444444,72,0.08995316238911655
2514602,0.9074169537068065,0.7096774193548387,31,0.19773953435196778
1707702,0.8980846374020219,0.8727272727272727,55,0.02535736467474925
2408706,0.8972287027524144,0.8571428571428571,14,0.0400858456095573
2410108,0.8972287027524144,0.7538461538461538,65,0.14338254890626057
1709005,0.8955624459192769,0.6141732283464567,127,0.2813892175728202
2506608,0.8905554753560928,0.41379310344827586,29,0.47676237190781695
2513158,0.8905554753560928,0.5185185185185185,54,0.3720369568375743
2907202,0.8904344785684424,0.7906976744186046,430,0.09973680414983777
2205599,0.8904344785684424,0.37037037037037035,27,0.520064108198072
2408953,0.8899382929027125,0.6931818181818182,88,0.1967564747208943
2401602,0.8899382929027124,0.7090909090909091,55,0.18084738381180332
2515807,0.8891306454127238,0.14285714285714285,14,0.7462735025555809
2208601,0.8890082697227936,0.52,50,0.36900826972279355
2202307,0.8890082697227936,0.6681614349775785,223,0.22084683474521505
2929800,0.8890082697227936,0.7926829268292683,82,0.09632534289352523
2916302,0.8890082697227936,0.765625,64,0.12338326972279356
2101939,0.8884035512686135,0.12121212121212122,33,0.7671914300564923
2111250,0.8884035512686134,0.4383561643835616,73,0.45004738688505175
5214804,0.8857901336257081,0.15789473684210525,19,0.7278953967836028
2805109,0.8852998040515364,0.8870967741935484,62,-0.0017969701420119666
2203271,0.8837583676251363,0.5205479452054794,73,0.36321042241965684
2929701,0.8832699192571204,0.6931818181818182,88,0.19008810107530216
2911006,0.8832699192571203,0.5897435897435898,78,0.2935263295135305
3125309,0.8780210348074925,0.3076923076923077,13,0.5703287271151848
2405504,0.8764050723495533,0.6842105263157895,38,0.19219454603376385
2407609,0.8764050723495533,0.7368421052631579,38,0.13956296708639548
2414704,0.8764050723495533,0.5428571428571428,35,0.3335479294924105
2807303,0.875960712535068,0.5897435897435898,39,0.28621712279147826
2804904,0.8759607125350679,0.6981132075471698,106,0.17784750498789814
2805406,0.8759607125350678,0.7333333333333333,345,0.14262737920173452
2515609,0.8743065652675193,0.5172413793103449,29,0.3570651859571744
1703867,0.8734253011483626,0.47368421052631576,57,0.3997410906220468
1700400,0.8734253011483626,0.5238095238095238,126,0.34961577733883875
2902252,0.8717355324159424,0.8688524590163934,61,0.0028830733995489632
1718865,0.871698873249812,0.6857142857142857,70,0.18598458753552627
1703909,0.871698873249812,0.6833333333333333,60,0.18836553991647864
2805208,0.8704334486828774,0.6190476190476191,42,0.25138582963525835
2803609,0.8704334486828774,0.7351598173515982,219,0.13527363133127923
2404705,0.8665320678096088,0.6,130,0.2665320678096088
1703842,0.8613659110395837,0.6148648648648649,148,0.2465010461747188
2202174,0.8588343251621171,0.36666666666666664,60,0.49216765849545047
2804706,0.8581080934899014,0.4166666666666667,60,0.4414414268232347
2204352,0.8568808151625736,0.46511627906976744,43,0.3917645360928062
2202059,0.8568808151625736,0.47619047619047616,84,0.3806903389720975
1718659,0.8564956715310971,0.8,35,0.056495671531097025
1718709,0.8564956715310971,0.5384615384615384,39,0.31803413306955863
1712801,0.8563876124459879,0.7894736842105263,38,0.0669139282354616
1713957,0.8563876124459878,0.5,32,0.3563876124459878
1713809,0.8563876124459878,0.5,82,0.3563876124459878
1718303,0.8563876124459878,0.6153846153846154,39,0.2410029970613724
2412807,0.8545376167588005,0.7073170731707317,41,0.1472205435880688
2403509,0.8541212383665759,0.5138888888888888,72,0.3402323494776871
2400505,0.853939985288013,0.41044776119402987,134,0.4434922240939831
2414209,0.853939985288013,0.7453703703703703,216,0.10856961491764261
2415008,0.8538303301901383,0.6,50,0.25383033019013834
2802403,0.8534539361189618,0.6276595744680851,94,0.22579436165087674
2803104,0.8534539361189617,0.65,20,0.20345393611896168
2802304,0.8534539361189617,0.6344086021505376,93,0.21904533396842407
2906824,0.8526457141553149,0.6987179487179487,156,0.1539277654373662
2901908,0.8526457141553148,0.8347826086956521,230,0.01786310545966263
2931103,0.8526457141553148,0.6933333333333334,75,0.1593123808219814
2910859,0.8526457141553148,0.6323529411764706,136,0.2202927729788442
2919603,0.8526457141553148,0.6986301369863014,146,0.15401557716901337
2900306,0.8526457141553148,0.40860215053763443,93,0.4440435636176803
2911105,0.8526457141553148,0.717948717948718,234,0.1346969962065968
2926103,0.8526457141553148,0.7642276422764228,123,0.08841807187889195
2507002,0.8514135126929612,0.5153374233128835,163,0.3360760893800777
2516151,0.8514135126929611,0.32727272727272727,55,0.5241407854202338
2910503,0.8505202714378539,0.6745098039215687,255,0.17601046751628524
1505205,0.8470639188562239,0.6863270777479893,373,0.1607368411082346
2804805,0.8443949670722043,0.7027932960893855,1790,0.14160167098281884
1304260,0.843457419154272,0.8090452261306532,199,0.03441219302361875
2202653,0.8424500995298907,0.5348837209302325,43,0.3075663785996582
2706109,0.8401021120592688,0.4642857142857143,112,0.37581639777355447
2414308,0.8399147760501477,0.6,15,0.23991477605014777
2403400,0.8399147760501477,0.40425531914893614,47,0.4356594569012116
1718451,0.8389004341158763,0.5909090909090909,22,0.2479913432067854
1711951,0.8389004341158763,0.8461538461538461,52,-0.007253412037969809
1718907,0.8389004341158763,0.6266666666666667,75,0.21223376744920963
1703008,0.8389004341158763,0.8088235294117647,68,0.030076904704111618
2910602,0.838638696135298,0.7604456824512534,359,0.07819301368404452
2900405,0.8386386961352978,0.6956521739130435,69,0.1429865222222544
2927507,0.8386386961352978,0.6842105263157895,133,0.15442816981950835
2920809,0.8386386961352978,0.8142857142857143,70,0.024352981849583566
